code,gi_values
A001,
A002,
A003,57
A004, 28-50
A005,62
A006,52
A007,52
A008,52
A009, 35-53
A010,70
A011,73
A012,73
A013,73
A014,73
A015,73
A016,
A017,70
A018,65
A019,65
A020,65
A021,65
A022,65
A023,65
A024,65
B001, 28-45
B002, 28-45
B003, 30-45
B004, 30-45
B005,50
B006,50
B007, 40-80
B008, 40-80
B009, 40-80
B010,
B011,
B012,
B013, 28-43
B014, 28-43
B015, 28-43
B016,
B017, 40-55
B018, 40-80
B019, 40-80
B020, 40-80
B021, 22-52
B022, 22-52
B023,
B024, 18-35
B025, 18-35
C001,
C002,
C003,
C004,
C005, 15-83
C006, 15-83
C007,
C008, 58-75
C009,64
C010,31
C011,31
C012, 15-60
C013, 15-60
C014,
C015,
C016, 45-55
C017,
C018,53
C019,
C020, 50-58
C021, 32-68
C022,
C023,
C024, 15-60
C025,10
C026,15
C027,
C028,
C029,43
C030,75
C031,32
C032,35
C033,15
C034,28
D001,75
D002, 20-35
D003,40
D004,30
D005,30
D006,30
D007,
D008,
D009,
D010,15
D011,15
D012,15
D013,15
D014,15
D015,15
D016,15
D017,15
D018,15
D019,15
D020,15
D021,15
D022,15
D023,15
D024,15
D025,15
D026,15
D027,15
D028,15
D029,15
D030,15
D031,15
D032, 25-40
D033,65
D034,65
D035,65
D036, 15-60
D037, 15-60
D038,
D039,15
D040,53
D041,53
D042,52
D043,15
D044,15
D045,15
D046,
D047, 25-40
D048, 25-40
D049, 40-80
D050, 40-80
D051,75
D052,75
D053, 15-60
D054, 18-72
D055, 18-72
D056, 15-52
D057, 41-60
D058, 10-15
D059,59
D060,
D061, 40-55
D062,44
D063,44
D064,44
D065,75
D066,75
D067, 22-52
D068,15
D069,
D070,
D071,
D072,
D073,
D074,
D075,
D076,
D077,75
D078,75
E001, 36-44
E002, 36-44
E003, 36-44
E004, 36-44
E005, 34-55
E006, 34-55
E007, 10-15
E008, 34-44
E009,44
E010,44
E011,44
E012,44
E013, 22-25
E014, 22-68
E015, 15-60
E016, 15-60
E017, 43-53
E018, 43-53
E019, 43-53
E020,61
E021,
E022, 43-53
E023, 43-53
E024, 43-53
E025, 43-53
E026, 43-53
E027, 43-53
E028,78
E029,78
E030,75
E031,65
E032,34
E033,20
E034,32
E035,29
E036, 41-60
E037, 41-60
E038, 41-60
E039, 41-60
E040, 41-60
E041, 41-60
E042, 41-60
E043, 20-22
E044,49
E045, 65-100
E046, 65-100
E047,
E048,
E049,
E050,
E051, 28-56
E052,
E053,59
E054, 15-60
E055,35
E056,25
E057, 43-53
E058, 43-53
E059,
E060,
E061,17
E062,31
E063, 40-65
E064, 30-40
E065, 72-75
E066, 72-75
E067,
E068,41
F001,64
F002, 30-71
F003, 30-71
F004,53
F005,65
F006, 56-111
F007, 56-111
F008, 56-111
F009,32
F010,32
F011,32
F012,32
F013,44
F014,44
F015, 46-58
F016,65
F017,
F018,
F019,51
G001, 15-81
G002, 15-81
G003, 15-81
G004, 15-81
G005, 15-81
G006, 15-81
G007, 15-81
G008, 15-81
G009,35
G010,
G011,30
G012,30
G013,30
G014, 70-80
G015,65
G016,
G017, 10-15
G018, 10-15
G019,30
G020,
G021,
G022, 15-81
G023,
G024,35
G025,50
G026, 50-58
G027,7
G028,7
G029,
G030,
G031,20
G032,
G033,44
H001, 20-30
H002, 15-60
H003, 15-60
H004, 15-60
H005,25
H006, 45-75
H007, 45-75
H008, 32-68
H009,55
H010,55
H011,55
H012, 14-21
H013,
H014,35
H015, 21-26
H016, 21-26
H017, 15-60
H018, 20-30
H019,35
H020, 25-35
H021, 15-60
I001, 65-70
I002, 65-70
J001, 10-20
J002,
J003,
J004,
K001,
K002, 3-5
L001,
L002,
L003, 0-10
L004,
M001,
M002,
M003,
M004,
M005,
M006,
M007,
M008,
M009,
M010,
M011,
M012,
M013,
M014,
M015,
N001,
N002,
N003,
N004,
N005,
N006,
N007,
N008,
N009,
N010,
N011,
N012,
N013,
N014,
N015,
N016,
N017,
N018,
N019,
O001,
O002,
O003,
O004,
O005,
O006,
O007,
O008,
O009,
O010,
O011,
O012,
O013,
O014,
O015,
O016,
O017,
O018,
O019,
O020,
O021,
O022,
O023,
O024,
O025,
O026,
O027,
O028,
O029,
O030,
O031,
O032,
O033,
O034,
O035,
O036,
O037,
O038,
O039,
O040,
O041,
O042,
O043,
O044,
O045,
O046,
O047,
O048,
O049,
O050,
O051,
O052,
O053,
O054,
O055,
O056,
O057,
O058,
O059,
O060,
O061,
O062,
O063,
P001,
P002,50
P003, 67-83
P004,
P005,30
P006,67
P007,
P008,
P009,
P010,
P011,
P012,
P013,
P014,53
P015, 48-51
P016,
P017, 73-80
P018,
P019,
P020,
P021,
P022,
P023,
P024,
P025,
P026,
P027,
P028,
P029,
P030,
P031,
P032,
P033,48
P034,
P035,
P036,
P037,
P038,
P039,
P040,
P041,
P042,
P043,
P044,
P045, 51-60
P046,32
P047,
P048,
P049,
P050,
P051, 31-33
P052,
P053,
P054,47
P055,50
P056,46
P057,
P058,
P059,39
P060,
P061,
P062,35
P063,
P064,
P065,
P066, 32-36
P067,
P068, 42-49
P069,42
P070,
P071, 65-100
P072,0
P073,
P074,
P075, 35-38
P076,27
P077,
P078,65
P079,
P080,69
P081,
P082,
P083,
P084,
P085,
P086, 32-35
P087,
P088,
P089, 75-76
P090,
P091,
P092,
Q001,
Q002,
Q003,
Q004,
Q005, 32-38
Q006,
Q007,
Q008,
R001,
R002,
R003,
R004,32
R005,
R006,32
R007,
S001,
S002,
S003,
S004,
S005,
S006,
S007,
S008,
S009,
S010,
T001,
T002,
T003,
T004,
T005,
T006,
T007,
T008,
T009,
T010,
T011,
T012,
T013,
T014,
