code,grup
A001,Cereals and Millets
A002,Cereals and Millets
A003,Cereals and Millets
A004,Cereals and Millets
A005,Cereals and Millets
A006,Cereals and Millets
A007,Cereals and Millets
A008,Cereals and Millets
A009,Cereals and Millets
A010,Cereals and Millets
A011,Cereals and Millets
A012,Cereals and Millets
A013,Cereals and Millets
A014,Cereals and Millets
A015,Cereals and Millets
A016,Cereals and Millets
A017,Cereals and Millets
A018,Cereals and Millets
A019,Cereals and Millets
A020,Cereals and Millets
A021,Cereals and Millets
A022,Cereals and Millets
A023,Cereals and Millets
A024,Cereals and Millets
B001,Grain Legumes
B002,Grain Legumes
B003,Grain Legumes
B004,Grain Legumes
B005,Grain Legumes
B006,Grain Legumes
B007,Grain Legumes
B008,Grain Legumes
B009,Grain Legumes
B010,Grain Legumes
B011,Grain Legumes
B012,Grain Legumes
B013,Grain Legumes
B014,Grain Legumes
B015,Grain Legumes
B016,Grain Legumes
B017,Grain Legumes
B018,Grain Legumes
B019,Grain Legumes
B020,Grain Legumes
B021,Grain Legumes
B022,Grain Legumes
B023,Grain Legumes
B024,Grain Legumes
B025,Grain Legumes
C001,Green Leafy Vegetables
C002,Green Leafy Vegetables
C003,Green Leafy Vegetables
C004,Green Leafy Vegetables
C005,Green Leafy Vegetables
C006,Green Leafy Vegetables
C007,Green Leafy Vegetables
C008,Green Leafy Vegetables
C009,Green Leafy Vegetables
C010,Green Leafy Vegetables
C011,Green Leafy Vegetables
C012,Green Leafy Vegetables
C013,Green Leafy Vegetables
C014,Green Leafy Vegetables
C015,Green Leafy Vegetables
C016,Green Leafy Vegetables
C017,Green Leafy Vegetables
C018,Green Leafy Vegetables
C019,Green Leafy Vegetables
C020,Green Leafy Vegetables
C021,Green Leafy Vegetables
C022,Green Leafy Vegetables
C023,Green Leafy Vegetables
C024,Green Leafy Vegetables
C025,Green Leafy Vegetables
C026,Green Leafy Vegetables
C027,Green Leafy Vegetables
C028,Green Leafy Vegetables
C029,Green Leafy Vegetables
C030,Green Leafy Vegetables
C031,Green Leafy Vegetables
C032,Green Leafy Vegetables
C033,Green Leafy Vegetables
C034,Green Leafy Vegetables
D001,Other Vegetables
D002,Other Vegetables
D003,Other Vegetables
D004,Other Vegetables
D005,Other Vegetables
D006,Other Vegetables
D007,Other Vegetables
D008,Other Vegetables
D009,Other Vegetables
D010,Other Vegetables
D011,Other Vegetables
D012,Other Vegetables
D013,Other Vegetables
D014,Other Vegetables
D015,Other Vegetables
D016,Other Vegetables
D017,Other Vegetables
D018,Other Vegetables
D019,Other Vegetables
D020,Other Vegetables
D021,Other Vegetables
D022,Other Vegetables
D023,Other Vegetables
D024,Other Vegetables
D025,Other Vegetables
D026,Other Vegetables
D027,Other Vegetables
D028,Other Vegetables
D029,Other Vegetables
D030,Other Vegetables
D031,Other Vegetables
D032,Other Vegetables
D033,Other Vegetables
D034,Other Vegetables
D035,Other Vegetables
D036,Other Vegetables
D037,Other Vegetables
D038,Other Vegetables
D039,Other Vegetables
D040,Other Vegetables
D041,Other Vegetables
D042,Other Vegetables
D043,Other Vegetables
D044,Other Vegetables
D045,Other Vegetables
D046,Other Vegetables
D047,Other Vegetables
D048,Other Vegetables
D049,Other Vegetables
D050,Other Vegetables
D051,Other Vegetables
D052,Other Vegetables
D053,Other Vegetables
D054,Other Vegetables
D055,Other Vegetables
D056,Other Vegetables
D057,Other Vegetables
D058,Other Vegetables
D059,Other Vegetables
D060,Other Vegetables
D061,Other Vegetables
D062,Other Vegetables
D063,Other Vegetables
D064,Other Vegetables
D065,Other Vegetables
D066,Other Vegetables
D067,Other Vegetables
D068,Other Vegetables
D069,Other Vegetables
D070,Other Vegetables
D071,Other Vegetables
D072,Other Vegetables
D073,Other Vegetables
D074,Other Vegetables
D075,Other Vegetables
D076,Other Vegetables
D077,Other Vegetables
D078,Other Vegetables
E001,Fruits
E002,Fruits
E003,Fruits
E004,Fruits
E005,Fruits
E006,Fruits
E007,Fruits
E008,Fruits
E009,Fruits
E010,Fruits
E011,Fruits
E012,Fruits
E013,Fruits
E014,Fruits
E015,Fruits
E016,Fruits
E017,Fruits
E018,Fruits
E019,Fruits
E020,Fruits
E021,Fruits
E022,Fruits
E023,Fruits
E024,Fruits
E025,Fruits
E026,Fruits
E027,Fruits
E028,Fruits
E029,Fruits
E030,Fruits
E031,Fruits
E032,Fruits
E033,Fruits
E034,Fruits
E035,Fruits
E036,Fruits
E037,Fruits
E038,Fruits
E039,Fruits
E040,Fruits
E041,Fruits
E042,Fruits
E043,Fruits
E044,Fruits
E045,Fruits
E046,Fruits
E047,Fruits
E048,Fruits
E049,Fruits
E050,Fruits
E051,Fruits
E052,Fruits
E053,Fruits
E054,Fruits
E055,Fruits
E056,Fruits
E057,Fruits
E058,Fruits
E059,Fruits
E060,Fruits
E061,Fruits
E062,Fruits
E063,Fruits
E064,Fruits
E065,Fruits
E066,Fruits
E067,Fruits
E068,Fruits
F001,Roots and Tubers
F002,Roots and Tubers
F003,Roots and Tubers
F004,Roots and Tubers
F005,Roots and Tubers
F006,Roots and Tubers
F007,Roots and Tubers
F008,Roots and Tubers
F009,Roots and Tubers
F010,Roots and Tubers
