Timestamp,Glucose Reading/Event
"Apr 25 2023,  9:30 PM",136
"Apr 25 2023,  9:31 PM",134
"Apr 25 2023,  9:32 PM",134
"Apr 25 2023,  9:44 PM",121
"Apr 25 2023,  9:59 PM",113
"Apr 25 2023, 10:01 PM",112
"Apr 25 2023, 10:02 PM",112
"Apr 25 2023, 10:03 PM",112
"Apr 25 2023, 10:04 PM",111
"Apr 25 2023, 10:05 PM",110
"Apr 25 2023, 10:06 PM",110
"Apr 25 2023, 10:07 PM",110
"Apr 25 2023, 10:08 PM",111
"Apr 25 2023, 10:09 PM",112
"Apr 25 2023, 10:10 PM",112
"Apr 25 2023, 10:11 PM",113
"Apr 25 2023, 10:12 PM",113
"Apr 25 2023, 10:13 PM",114
"Apr 25 2023, 10:14 PM",114
"Apr 25 2023, 10:15 PM",115
"Apr 25 2023, 10:16 PM",114
"Apr 25 2023, 10:17 PM",114
"Apr 25 2023, 10:18 PM",116
"Apr 25 2023, 10:19 PM",116
"Apr 25 2023, 10:20 PM",117
"Apr 25 2023, 10:21 PM",118
"Apr 25 2023, 10:22 PM",118
"Apr 25 2023, 10:23 PM",119
"Apr 25 2023, 10:24 PM",115
"Apr 25 2023, 10:25 PM",112
"Apr 25 2023, 10:25 PM",Palak Paneer
"Apr 25 2023, 10:26 PM",110
"Apr 25 2023, 10:27 PM",109
"Apr 25 2023, 10:28 PM",108
"Apr 25 2023, 10:29 PM",109
"Apr 25 2023, 10:30 PM",116
"Apr 25 2023, 10:31 PM",111
"Apr 25 2023, 10:32 PM",112
"Apr 25 2023, 10:45 PM",120
"Apr 25 2023, 11:00 PM",116
"Apr 25 2023, 11:15 PM",119
"Apr 25 2023, 11:18 PM",121
"Apr 25 2023, 11:19 PM",121
"Apr 25 2023, 11:20 PM",121
"Apr 25 2023, 11:21 PM",120
"Apr 25 2023, 11:22 PM",119
"Apr 25 2023, 11:23 PM",118
"Apr 25 2023, 11:24 PM",118
"Apr 25 2023, 11:25 PM",118
"Apr 25 2023, 11:26 PM",119
"Apr 25 2023, 11:27 PM",119
"Apr 25 2023, 11:28 PM",119
"Apr 25 2023, 11:29 PM",117
"Apr 25 2023, 11:30 PM",120
"Apr 25 2023, 11:31 PM",117
"Apr 25 2023, 11:32 PM",118
"Apr 25 2023, 11:33 PM",119
"Apr 25 2023, 11:34 PM",121
"Apr 25 2023, 11:35 PM",120
"Apr 25 2023, 11:36 PM",119
"Apr 25 2023, 11:37 PM",118
"Apr 25 2023, 11:38 PM",118
"Apr 25 2023, 11:39 PM",118
"Apr 25 2023, 11:40 PM",119
"Apr 25 2023, 11:45 PM",136
"Apr 26 2023, 12:00 AM",138
"Apr 26 2023, 12:15 AM",125
"Apr 26 2023, 12:16 AM",127
"Apr 26 2023, 12:17 AM",127
"Apr 26 2023, 12:18 AM",128
"Apr 26 2023, 12:19 AM",129
"Apr 26 2023, 12:20 AM",126
"Apr 26 2023, 12:21 AM",127
"Apr 26 2023, 12:22 AM",126
"Apr 26 2023, 12:23 AM",125
"Apr 26 2023, 12:24 AM",124
"Apr 26 2023, 12:25 AM",123
"Apr 26 2023, 12:26 AM",123
"Apr 26 2023, 12:27 AM",123
"Apr 26 2023, 12:28 AM",123
"Apr 26 2023, 12:29 AM",124
"Apr 26 2023, 12:30 AM",124
"Apr 26 2023, 12:31 AM",126
"Apr 26 2023, 12:41 AM",110
"Apr 26 2023, 12:42 AM",109
"Apr 26 2023, 12:43 AM",112
"Apr 26 2023, 12:44 AM",111
"Apr 26 2023, 12:45 AM",120
"Apr 26 2023, 12:46 AM",112
"Apr 26 2023, 12:47 AM",115
"Apr 26 2023, 12:48 AM",115
"Apr 26 2023, 12:49 AM",116
"Apr 26 2023, 12:50 AM",118
"Apr 26 2023, 12:51 AM",119
"Apr 26 2023, 12:52 AM",120
"Apr 26 2023, 12:53 AM",121
"Apr 26 2023, 12:54 AM",122
"Apr 26 2023, 12:55 AM",123
"Apr 26 2023, 12:56 AM",124
"Apr 26 2023, 12:57 AM",116
"Apr 26 2023, 12:58 AM",118
"Apr 26 2023, 12:59 AM",119
"Apr 26 2023,  1:00 AM",120
"Apr 26 2023,  1:01 AM",109
"Apr 26 2023,  1:02 AM",112
"Apr 26 2023,  1:03 AM",111
"Apr 26 2023,  1:04 AM",113
"Apr 26 2023,  1:05 AM",112
"Apr 26 2023,  1:06 AM",115
"Apr 26 2023,  1:07 AM",113
"Apr 26 2023,  1:08 AM",123
"Apr 26 2023,  1:09 AM",121
"Apr 26 2023,  1:10 AM",120
"Apr 26 2023,  1:11 AM",118
"Apr 26 2023,  1:12 AM",114
"Apr 26 2023,  1:15 AM",122
"Apr 26 2023,  1:30 AM",107
"Apr 26 2023,  1:45 AM",97
"Apr 26 2023,  2:00 AM",95
"Apr 26 2023,  2:15 AM",96
"Apr 26 2023,  2:30 AM",92
"Apr 26 2023,  2:45 AM",83
"Apr 26 2023,  3:00 AM",76
"Apr 26 2023,  3:15 AM",83
"Apr 26 2023,  3:27 AM",85
"Apr 26 2023,  3:28 AM",82
"Apr 26 2023,  3:29 AM",81
"Apr 26 2023,  3:30 AM",75
"Apr 26 2023,  3:31 AM",81
"Apr 26 2023,  3:32 AM",78
"Apr 26 2023,  3:33 AM",76
"Apr 26 2023,  3:34 AM",76
"Apr 26 2023,  3:35 AM",76
"Apr 26 2023,  3:36 AM",76
"Apr 26 2023,  3:37 AM",77
"Apr 26 2023,  3:38 AM",76
"Apr 26 2023,  3:39 AM",75
"Apr 26 2023,  3:40 AM",75
"Apr 26 2023,  3:41 AM",74
"Apr 26 2023,  3:42 AM",72
"Apr 26 2023,  3:45 AM",79
"Apr 26 2023,  4:00 AM",62
"Apr 26 2023,  4:15 AM",62
"Apr 26 2023,  4:30 AM",71
"Apr 26 2023,  4:45 AM",78
"Apr 26 2023,  5:00 AM",79
"Apr 26 2023,  5:15 AM",79
"Apr 26 2023,  5:30 AM",68
"Apr 26 2023,  5:42 AM",67
"Apr 26 2023,  5:43 AM",67
"Apr 26 2023,  5:44 AM",67
"Apr 26 2023,  5:45 AM",72
"Apr 26 2023,  5:46 AM",68
"Apr 26 2023,  5:47 AM",69
"Apr 26 2023,  5:48 AM",69
"Apr 26 2023,  5:49 AM",69
"Apr 26 2023,  5:50 AM",70
"Apr 26 2023,  5:51 AM",70
"Apr 26 2023,  5:52 AM",72
"Apr 26 2023,  5:53 AM",73
"Apr 26 2023,  5:54 AM",73
"Apr 26 2023,  5:55 AM",73
"Apr 26 2023,  5:56 AM",73
"Apr 26 2023,  5:57 AM",72
"Apr 26 2023,  5:59 AM",65
"Apr 26 2023,  6:14 AM",67
"Apr 26 2023,  6:17 AM",65
"Apr 26 2023,  6:18 AM",65
"Apr 26 2023,  6:19 AM",66
"Apr 26 2023,  6:20 AM",70
"Apr 26 2023,  6:21 AM",71
"Apr 26 2023,  6:22 AM",71
"Apr 26 2023,  6:23 AM",70
"Apr 26 2023,  6:24 AM",67
"Apr 26 2023,  6:25 AM",62
"Apr 26 2023,  6:26 AM",61
"Apr 26 2023,  6:27 AM",63
"Apr 26 2023,  6:28 AM",63
"Apr 26 2023,  6:29 AM",67
"Apr 26 2023,  6:30 AM",67
"Apr 26 2023,  6:31 AM",69
"Apr 26 2023,  6:32 AM",70
"Apr 26 2023,  6:33 AM",65
"Apr 26 2023,  6:34 AM",65
"Apr 26 2023,  6:35 AM",66
"Apr 26 2023,  6:36 AM",70
"Apr 26 2023,  6:37 AM",71
"Apr 26 2023,  6:38 AM",71
"Apr 26 2023,  6:39 AM",70
"Apr 26 2023,  6:40 AM",67
"Apr 26 2023,  6:41 AM",66
"Apr 26 2023,  6:42 AM",65
"Apr 26 2023,  6:43 AM",65
"Apr 26 2023,  6:44 AM",66
"Apr 26 2023,  6:45 AM",70
"Apr 26 2023,  7:00 AM",66
"Apr 26 2023,  7:15 AM",64
"Apr 26 2023,  7:30 AM",67
"Apr 26 2023,  7:45 AM",73
"Apr 26 2023,  8:00 AM",73
"Apr 26 2023,  8:15 AM",69
"Apr 26 2023,  8:16 AM",57
"Apr 26 2023,  8:17 AM",59
"Apr 26 2023,  8:18 AM",57
"Apr 26 2023,  8:19 AM",50
"Apr 26 2023,  8:20 AM",51
"Apr 26 2023,  8:21 AM",53
"Apr 26 2023,  8:22 AM",55
"Apr 26 2023,  8:23 AM",57
"Apr 26 2023,  8:24 AM",60
"Apr 26 2023,  8:25 AM",62
"Apr 26 2023,  8:26 AM",60
"Apr 26 2023,  8:27 AM",60
"Apr 26 2023,  8:28 AM",62
"Apr 26 2023,  8:29 AM",65
"Apr 26 2023,  8:30 AM",72
"Apr 26 2023,  8:31 AM",70
"Apr 26 2023,  8:44 AM",48
"Apr 26 2023,  8:59 AM",65
"Apr 26 2023,  9:14 AM",81
"Apr 26 2023,  9:19 AM",68
"Apr 26 2023,  9:20 AM",66
"Apr 26 2023,  9:21 AM",68
"Apr 26 2023,  9:22 AM",68
"Apr 26 2023,  9:23 AM",67
"Apr 26 2023,  9:24 AM",66
"Apr 26 2023,  9:25 AM",66
"Apr 26 2023,  9:26 AM",66
"Apr 26 2023,  9:27 AM",66
"Apr 26 2023,  9:28 AM",65
"Apr 26 2023,  9:29 AM",67
"Apr 26 2023,  9:30 AM",61
"Apr 26 2023,  9:31 AM",64
"Apr 26 2023,  9:32 AM",68
"Apr 26 2023,  9:33 AM",71
"Apr 26 2023,  9:34 AM",73
"Apr 26 2023,  9:44 AM",64
"Apr 26 2023,  9:59 AM",58
"Apr 26 2023, 10:12 AM",74
"Apr 26 2023, 10:13 AM",71
"Apr 26 2023, 10:14 AM",65
"Apr 26 2023, 10:15 AM",64
"Apr 26 2023, 10:16 AM",64
"Apr 26 2023, 10:17 AM",64
"Apr 26 2023, 10:18 AM",64
"Apr 26 2023, 10:19 AM",65
"Apr 26 2023, 10:20 AM",65
"Apr 26 2023, 10:21 AM",66
"Apr 26 2023, 10:22 AM",65
"Apr 26 2023, 10:23 AM",66
"Apr 26 2023, 10:24 AM",65
"Apr 26 2023, 10:25 AM",65
"Apr 26 2023, 10:26 AM",66
