code,name
name,Food Name
scie,Scientific Name
lang,Local Name
local_name,
grup,Food Group
regn,No. of Regions
tags,Tags
enerc,Energy
enerc_e,
water,Moisture
water_e,
ash,Ash
ash_e,
vit,Vitamins
vit_e,
fatce,Total Fat
fatce_e,
cholc,Cholesterol
cholc_e,
fibtg,Dietary Fiber
fibtg_e,
choavldf,Carbohydrate
choavldf_e,
protcnt,Protein
protcnt_e,
amiac,Amino acids
amiac_e,
cartoid,Carotenoids
cartoid_e,
polyph,Polyphenols
polyph_e,
phystr,Phytosterols
phystr_e,
tocph,Tocopherols
tocph_e,
toctr,Tocotrienols
toctr_e,
orgac,Organic acids
orgac_e,
phytac,Phytate
phytac_e,
sapon,Saponins
sapon_e,
mnrleq,Essential Quantity Minerals
mnrleq_e,
mnrlet,Essential Trace Minerals
mnrlet_e,
mnrlpet,Possibly essential Trace Minerals
mnrlpet_e,
mnrlnet,Non-essential Trace Minerals
mnrlnet_e,
mnrltx,Toxic Minerals
mnrltx_e,
vita,Vitamin A
vita_e,
vitb,Vitamin B
vitb_e,
vitc,Ascorbic acids (C)
vitc_e,
vitd,Vitamin D
vitd_e,
vite,α-Tocopherol equivalent (E)
vite_e,
vitk,Vitamin K
vitk_e,
fasat,Saturated Fatty acids
fasat_e,
fauns,Unsaturated Fatty acids
fauns_e,
faess,Essential Fatty acids
faess_e,
facis,Cis Fatty acids
facis_e,
fatrn,Trans Fatty acids
fatrn_e,
fams,Monounsaturated Fatty acids
fams_e,
fapu,Polyunsaturated Fatty acids
fapu_e,
facn3,Cis ω-3 Fatty acids
facn3_e,
facn6,Cis ω-6 Fatty acids
facn6_e,
facn9,Cis ω-9 Fatty acids
facn9_e,
facn5,Cis ω-5 Fatty acids
facn5_e,
facn7,Cis ω-7 Fatty acids
facn7_e,
fibins,Insoluble Dietary Fiber
fibins_e,
fibsol,Soluble Dietary Fiber
fibsol_e,
cho,Available CHO
cho_e,
starch,Starch
starch_e,
olsac,Oligosaccharides
olsac_e,
fsugar,Free Sugars
fsugar_e,
amiace,Essential Amino acids
amiace_e,
amiacce,Conditionally essential Amino acids
amiacce_e,
amiacne,Non-essential Amino acids
amiacne_e,
retol,Retinol
retol_e,
thia,Thiamine (B1)
